"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Nassl",2011,46,"46_2","46_2_2","M","C57Bl6_mouse",NA,NA,2.571429,"ad_lib",48,32,20,2.11,3.98,2.76,8.85,20.3,"circ_leu",0,NA,3,413.67,124.84,"46_2"
"Noatsch ",2011,47,"47_1","47_1_1","M","C57Bl6_mouse",NA,NA,14,"ad_lib",21.3,67,11.8,1.1289,3.5358,1.065,5.7297,14.3,"circ_leu",2.5,NA,10,142,18,"47_1"
"Noatsch ",2011,47,"47_1","47_1_2","M","C57Bl6_mouse",NA,NA,14,"ad_lib",26,62.2,11.8,1.014,10.192,0.9672,12.1732,14.3,"circ_leu",2.5,NA,10,182,111,"47_1"
"Noatsch ",2011,47,"47_1","47_1_3","M","C57Bl6_mouse",NA,NA,14,"ad_lib",53.2,35.1,11.8,2.8728,9.7888,2.4472,15.1088,14.3,"circ_leu",2.5,NA,10,153,30,"47_1"
"Ohguri ",1980,49,"49_5","49_5_1","R","Donryu_rat","F",NA,12,"ad_lib",8.38,70.8,20.8,0.297,0.65,0.418,1.365,18.25,"circ_leu",0,NA,8,11.353,NA,"49_5"
"Ohguri ",1980,49,"49_5","49_5_2","R","Donryu_rat","F",NA,12,"ad_lib",12.46,67.6,19.9,0.28,5.07,0.4,5.75,19.1,"circ_leu",0,NA,8,12.065,NA,"49_5"
"Oku",1991,50,"50_1","50_1_1","R","Wistar_rat","M",NA,2,"ad_lib",9.4,69.6,21,0.44,0.8,0.59,1.83,18.1,"circ_leu",0,NA,5,154.84,NA,"50_1"
"Oku",1991,50,"50_1","50_1_2","R","Wistar_rat","M",NA,2,"ad_lib",18.8,60.18,21.02,0.89,1.61,1.18,3.68,18.1,"circ_leu",0,NA,5,216.76,NA,"50_1"
"Oku",1991,50,"50_1","50_1_3","R","Wistar_rat","M",NA,2,"ad_lib",37.6,41.37,21.02,1.77,3.21,2.35,7.33,18.1,"circ_leu",0,NA,5,311.26,NA,"50_1"
"Oku",1991,50,"50_2","50_2_1","R","Wistar_rat","M",NA,2,"ad_lib",18.8,60.18,21.02,0.89,1.61,1.18,3.68,18.1,"circ_leu",0,NA,5,133.4,NA,"50_2"
"Oku",1991,50,"50_2","50_2_2","R","Wistar_rat","M",NA,2,"ad_lib",21.03,58.5,20.44,3.6,1.5,1.14,6.24,18.6,"circ_leu",0,NA,5,129.9,NA,"50_2"
"Oku",1991,50,"50_2","50_2_3","R","Wistar_rat","M",NA,2,"ad_lib",21.03,58.5,20.44,0.86,1.5,3.88,6.24,18.6,"circ_leu",0,NA,5,150.1,NA,"50_2"
"Oku",1991,50,"50_2","50_2_4","R","Wistar_rat","M",NA,2,"ad_lib",21.03,58.5,20.44,0.86,4.24,1.14,6.24,18.6,"circ_leu",0,NA,5,193.73,NA,"50_2"
"Torres Leal",2011,55,"55_1","55_1_1","R","Sprague_Dawley_rat","M",32,6,"ad_lib",14.74,75.85,9.41,0.7,1.26,0.92,2.88,16.15,"circ_leu",12,NA,4,1.963,0.119511506,"55_1"
"Torres Leal",2011,55,"55_1","55_1_2","R","Sprague_Dawley_rat","M",32,6,"ad_lib",19.96,70.59,9.4,0.7,6.52,0.92,8.14,16.15,"circ_leu",12,NA,4,1.884,0.341214009,"55_1"
"Vianna",2012,56,"56_1","56_1_1","R","Sprague_Dawley_rat","M",24,40,"ad_lib",17.97,72.63,9.4,0.69,1.26,0.92,2.87,16.1,"circ_leu",5,NA,17,11.9,2.4,"56_1"
"Vianna",2012,56,"56_1","56_1_2","R","Sprague_Dawley_rat","M",24,40,"ad_lib",17.96,72.63,9.4,0.69,4.34,0.92,5.95,16.1,"circ_leu",5,NA,14,12.6,2.523885893,"56_1"
"Shimomura",2000,57,"57_1","57_1_1","R","Sprague_Dawley_rat","M",8,4,"ad_lib",21.09,67.31,11.61,0.98,1.78,1.3,4.06,16.4,"circ_leu",7,NA,6,111,15.65247584,"57_1"
"Shimomura",2000,57,"57_1","57_1_2","R","Sprague_Dawley_rat","M",8,4,"ad_lib",23.16,62.37,11.61,2.28,3.88,2.86,9.02,16.4,"circ_leu",7,NA,6,129,15.65247584,"57_1"
"May",1991,64,"64_2","64_2_1","R","Sprague_Dawley_rat","M",NA,1.857143,"gavage",9.26,79.62,11.12,0.42,0.77,0.56,1.75,17.1,"circ_leu",16,NA,5,88,14,"64_2"
"May",1991,64,"64_2","64_2_2","R","Sprague_Dawley_rat","M",NA,1.857143,"gavage",19.21,69.67,11.12,0.42,10.72,0.56,11.7,17.1,"circ_leu",16,NA,5,141,40,"64_2"
"May",1991,64,"64_2","64_2_3","R","Sprague_Dawley_rat","M",NA,1.857143,"gavage",24.18,64.69,11.12,3,10.72,2.95,16.67,17.1,"circ_leu",16,NA,5,160,34,"64_2"
"Weisdorf ",1991,65,"65_1","65_1_1","R","Sprague_Dawley_rat","B",3,3,"pair_fed",20.49,58.1,21.41,0.96,1.68,1.2,3.84,17.7,"circ_leu",6,NA,11,132,25,"65_1"
"Weisdorf ",1991,65,"65_1","65_1_2","R","Sprague_Dawley_rat","B",3,3,"pair_fed",20.49,21.41,58.1,1.44,3.35,2.39,7.18,17.7,"circ_leu",6,NA,11,111,29,"65_1"
"Shin ",1994,70,"70_1","70_1_1","R","Sprague_Dawley_rat","M",NA,2.857143,"ad_lib",11.52,79.34,9.14,0.48,0.63,0.56,1.67,16.3,"circ_leu",0,NA,4,0.068,NA,"70_1"
"Shin ",1994,70,"70_1","70_1_2","R","Sprague_Dawley_rat","M",NA,2.857143,"ad_lib",11.63,79.23,9.14,0.48,0.64,0.67,1.79,16.3,"circ_leu",0,NA,4,0.065,NA,"70_1"
"Konishi ",1982,73,"73_1","73_1_1","R","Sprague_Dawley_rat","M",NA,3,"ad_lib",11.41,75.84,12.75,0.42,1.18,0.58,2.18,14.9,"circ_leu",2,NA,6,5.08,1.14933894,"73_1"
"Konishi ",1982,73,"73_1","73_1_2","R","Sprague_Dawley_rat","M",NA,3,"ad_lib",11.41,75.84,12.75,0.42,1.61,0.58,2.61,14.9,"circ_leu",2,NA,6,5.149,1.189588164,"73_1"
