"Author","Year","Art_ID","Experimental_Unit","Group","Species","Strain","Sex","Age_wks","Duration_wks","Method","Diet_P","Diet_C","Diet_F","Diet_Iso","Diet_Leu","Diet_Val","Diet_BCAA","Diet_kJ_g","Trait","Time_fasted","Change_Adjusted","n","Mean","SD","unique_ID"
"Lollo",2013,37,"37_1","37_1_1","R","Wistar_rat","M",NA,4,"ad_lib",19.42,72.58,8,1.02,1.72,1.21,3.95,14.9,"plas_ins",0,NA,6,5.4,1.4,"37_1"
"Lollo",2013,37,"37_1","37_1_2","R","Wistar_rat","M",NA,4,"ad_lib",24.56,67.44,8,1.02,6.86,1.21,9.09,14.9,"plas_ins",0,NA,6,4.6,0.2,"37_1"
"Lollo",2013,37,"37_1","37_1_3","R","Wistar_rat","M",NA,4,"ad_lib",26.32,65.7,8,1.02,8.62,1.21,10.85,14.9,"plas_ins",0,NA,6,6.6,0.3,"37_1"
"Lollo",2013,37,"37_1","37_1_4","R","Wistar_rat","M",NA,4,"ad_lib",22.85,69.15,8,5.15,1.21,7.38,13.74,14.9,"plas_ins",0,NA,6,5.7,1.5,"37_1"
"Lollo",2013,37,"37_2","37_2_1","R","Wistar_rat","M",NA,4,"ad_lib",19.3,72.7,8,1.32,1.92,1.1,4.34,14.9,"plas_ins",0,NA,6,3.6,1.1,"37_2"
"Lollo",2013,37,"37_2","37_2_2","R","Wistar_rat","M",NA,4,"ad_lib",22.7,69.3,8,1.32,5.32,1.1,7.74,14.9,"plas_ins",0,NA,6,5.2,0.2,"37_2"
"Lollo",2013,37,"37_2","37_2_3","R","Wistar_rat","M",NA,4,"ad_lib",24.42,67.58,8,1.32,7.04,1.1,9.46,14.9,"plas_ins",0,NA,6,5.4,1.5,"37_2"
"Lollo",2013,37,"37_2","37_2_4","R","Wistar_rat","M",NA,4,"ad_lib",26.12,65.88,8,1.32,8.72,1.1,11.14,14.9,"plas_ins",0,NA,6,5.8,0.4,"37_2"
"Nassl",2011,46,"46_1","46_1_1","M","C57Bl6_mouse",NA,NA,0.142857,"ad_lib",23,66,11,1.01,1.91,1.31,4.23,18,"plas_ins",6,NA,6,0.655,0.29,"46_1"
"Nassl",2011,46,"46_1","46_1_2","M","C57Bl6_mouse",NA,NA,0.142857,"ad_lib",48,32,20,2.11,3.98,2.76,8.85,20.3,"plas_ins",6,NA,6,1.11,0.29,"46_1"
